D�a;Mes;Hora;Minuto;Dia/noche;Sistema FV Andes 80kWp - Lufft WS501 BM: RS485-2 67 - Humedad relativa del aire 1 [%] - E_AH_REL1;Sistema FV Andes 80kWp - Meteocontrol Si-I-420-T BM: MI-1 BM: MI-2 - Radiación [Wh/m²] - SRAD;Sistema FV Andes 80kWp - Básicos - Temperatura de modulos [°C] - T_M0;Sistema FV Andes 80kWp - Básicos - TempT [t] - TA;Sistema FV Andes 80kWp - Lufft WS501 BM: RS485-2 67 - Radiación [Wh/m²] - SRAD
1;1;12;15;1;84.859;1.013;13.9;26.868;0
1;1;12;30;1;86.472;0.998;12.511;25.302;0
1;1;12;45;1;91.135;0.998;12.234;24.001;0
1;1;1;0;1;89.321;1.002;12.261;24.01;0
1;1;1;15;1;89.079;0.999;11.551;22.789;0
1;1;1;30;1;88.622;1.001;11.326;22.212;0
1;1;1;45;1;88.846;1.001;10.966;21.67;0
1;1;2;0;1;87.689;1.003;10.641;21.151;0
1;1;2;15;1;87.707;1.005;10.641;21.008;0
1;1;2;30;1;87.085;1.008;10.733;20.982;0
1;1;2;45;1;86.925;1.011;11.276;21.48;0
1;1;3;0;1;86.729;1.015;11.144;21.377;0
1;1;3;15;1;86.609;1.011;10.949;20.987;0
1;1;3;30;1;85.879;1.011;10.924;20.974;0
1;1;3;45;1;86.472;1.01;10.698;20.563;0
1;1;4;0;1;86.881;1.006;10.104;19.739;0
1;1;4;15;1;86.863;1.001;9.705;19.189;0
1;1;4;30;1;87.38;1.003;9.722;19.201;0
1;1;4;45;1;86.369;1.009;10.169;20.078;0
1;1;5;0;1;86.867;1.005;10.151;19.884;0
1;1;5;15;1;86.626;1.001;10.217;19.952;0
1;1;5;30;1;86.166;0.999;10.078;19.928;0
1;1;5;45;1;86.826;0.997;9.74;19.406;0
1;1;6;0;1;87.066;1.251;9.405;18.845;0.034
1;1;6;15;1;86.487;6.259;9.494;19.013;4.865
1;1;6;30;1;86.744;13.727;9.579;18.94;13.597
1;1;6;45;1;85.862;21.42;9.918;19.516;23.281
1;1;7;0;1;84.688;98.685;11.41;21.31;69.279
1;1;7;15;1;81.566;287.101;18.323;28.429;177.838
1;1;7;30;1;76.747;351.372;23.338;33.682;229.378
1;1;7;45;1;77.111;417.043;24.727;34.585;282.637
1;1;8;0;1;73.087;480.993;29.557;38.482;341.299
1;1;8;15;1;64.529;554.415;35.59;42.448;404.948
1;1;8;30;1;63.334;615.548;38.906;43.8;460.327
1;1;8;45;1;62.545;671.819;40.561;44.208;513.443
1;1;9;0;1;59.459;727.049;42.954;44.745;569.263
1;1;9;15;1;58.891;779.325;43.58;44.87;626.183
1;1;9;30;1;55.729;828.335;46.689;45.27;681.753
1;1;9;45;1;55.616;858.645;49.276;45.334;719.487
1;1;10;0;1;54.779;907.801;49.079;45.326;778.079
1;1;10;15;1;54.213;785.376;48.751;45.099;709.033
1;1;10;30;1;54.874;759.411;39.061;43.578;686.833
1;1;10;45;1;52.665;841.084;46.845;45.168;765.477
